"Query.Mass","Matched.Compound","Matched.Form","Mass.Diff"
"105.033414292823","C00623","M-HCOONa+H[1+]","0.000162173947003907"
"105.033414292823","C00633","M-H2O+H[1+]","6.21739470005878e-05"
"105.033414292823","C01173","M-C3H4O2+H[1+]","6.21739470005878e-05"
"124.075606987397","C00250","M-CO2+H[1+]","6.94793729962839e-05"
"124.075606987397","C00314","M-HCOOH+H[1+]","0.000169479372999604"
"124.075606987397","C00547","M-HCOOH+H[1+]","0.000169479372999604"
"118.086105780353","C00183","M+H[1+]","0.000170686416993249"
"118.086105780353","C00431","M+H[1+]","0.000170686416993249"
"118.086105780353","C00719","M+H[1+]","0.000170686416993249"
"118.086105780353","C00956","M-CO2+H[1+]","0.00017068641700746"
"118.086105780353","C01046","M-CO2+H[1+]","0.00017068641700746"
"118.086105780353","C01077","M-CO2+H[1+]","0.00017068641700746"
"224.029090855697","C01210","M+HCOONa[1+]","0.000285611072968095"
"113.023175971169","C00433","M-H2O+H[1+]","0.000100495601003558"
"113.023175971169","C00490","M-H2O+H[1+]","0.000100495601003558"
"113.023175971169","C00652","M-H4O2+H[1+]","0.000100495601017769"
"113.023175971169","C00684","M-H4O2+H[1+]","0.000100495601017769"
"113.023175971169","C00815","M-H4O2+H[1+]","0.000100495601017769"
"113.023175971169","C01087","M-H4O2+H[1+]","0.000100495601017769"
"113.023175971169","C01114","M-H4O2+H[1+]","0.000100495601017769"
"113.023175971169","C01185","M+3H[3+]","0.000233828934341318"
"373.117246466758","C01280","M(C13)+2H[2+]","0.00126999998792598"
"134.059903912725","C00561","M+H[1+]","0.000172554045008155"
"134.059903912725","C00314","M-H4O2+H[1+]","7.25540450332574e-05"
"134.059903912725","C00547","M-H4O2+H[1+]","7.25540450332574e-05"
"155.070104044974","C00379","M(S34)+H[1+]","0.00147242179602358"
"155.070104044974","C00474","M(S34)+H[1+]","0.00147242179602358"
"155.070104044974","C00532","M(S34)+H[1+]","0.00147242179602358"
"155.070104044974","C00135","M[1+]","0.000604044973982809"
"155.070104044974","C00548","M+H2O+H[1+]","0.00017242179603727"
"155.070104044974","C00768","M[1+]","0.000604044973982809"
"155.070104044974","C01162","M[1+]","0.000604044973982809"
"155.070104044974","C01207","M-CO2+H[1+]","0.000172421796008848"
"218.066499416036","C00913","M+HCOONa[1+]","0.00172294926599648"
"218.066499416036","C01300","M+Na[1+]","0.00162294926599316"
"189.017106684971","C00085","M-C3H4O2+H[1+]","0.00123021820098757"
"189.017106684971","C00092","M-C3H4O2+H[1+]","0.00123021820098757"
"189.017106684971","C00103","M-C3H4O2+H[1+]","0.00123021820098757"
